status,experiment_id,phase,repeat_index,server_version,pgvector_version,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,database_trigger,job_id,operator,seed_workload,executor,strategy,data_source,source_workload_name,source_order,organizer,organizer_partition_mode,organizer_partitions,daft_runner,organizer_partition_effective,model_backend,model_endpoint_url,model_name,total_rows,written_rows,db_fetch_rows,ray_batch_rows,batching_policy,token_budget,embedding_dim,embedding_vector_dim,completion_max_tokens,model_workers,max_inflight_limit,writeback_mode,write_batch_rows,object_count,operator_invocations,max_inflight_seen,token_count,batch_rows_min,batch_rows_max,batch_rows_mean,batch_tokens_min,batch_tokens_max,batch_tokens_mean,batch_tokens_p50,batch_tokens_p95,batch_service_s_p50,batch_service_s_p95,batch_service_s_p99,vllm_metrics_status,vllm_prompt_tokens_delta,vllm_generation_tokens_delta,vllm_request_success_delta,vllm_e2e_request_latency_mean_s,vllm_request_queue_time_mean_s,vllm_request_inference_time_mean_s,vllm_request_prefill_time_mean_s,vllm_request_decode_time_mean_s,vllm_num_requests_running_after,vllm_num_requests_waiting_after,vllm_kv_cache_usage_perc_after,db_fetch_s,arrow_build_s,source_fetch_s,organizer_from_arrow_s,organizer_plan_s,organizer_collect_s,organizer_warnings,model_service_s,model_request_wall_s,operator_wall_s,submit_s,bounded_wait_s,avg_bounded_wait_s,fanin_s,writeback_s,e2e_s,rows_per_s
ok,token_budget_vs_fixed_fixed_rows_16,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,11,11264,12227,job_table,482,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,512,0,512,16,fixed_rows,0,128,128,16,2,8,none,0,32,32,8,70565,16,16,16.0,474,6778,2205.15625,1561.0,5260.0,1.18974,2.06925,2.327641,ok,62396,8169,512,1.344201,0.207476,1.016773,0.195735,0.821038,0,0,0.0,0.778217,0.0,0.778217,0.001795,6.8e-05,0.018351,,44.03654,5.795143,7.8139,0.045623,7.226411,0.3011,0.007659,1.1e-05,8.791134,58.24
ok,token_budget_vs_fixed_fixed_rows_16,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,98,11278,12227,job_table,483,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,512,0,512,16,fixed_rows,0,128,128,16,2,8,none,0,32,32,8,70578,16,16,16.0,474,6793,2205.5625,1561.0,5260.0,0.411236,0.470368,0.498211,ok,62396,8182,512,0.40791,3.9e-05,0.375573,0.055219,0.320354,0,0,0.0,0.073998,0.0,0.073998,0.000448,4.7e-05,0.015879,,13.698218,1.770709,1.776088,0.035877,1.348569,0.05619,0.006537,9e-06,1.88194,272.06
ok,token_budget_vs_fixed_fixed_rows_16,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,95,11304,12227,job_table,484,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,512,0,512,16,fixed_rows,0,128,128,16,2,8,none,0,32,32,8,70570,16,16,16.0,474,6793,2205.3125,1561.0,5260.0,0.424349,0.454741,0.456166,ok,62396,8174,512,0.405854,0.000222,0.371344,0.063034,0.30831,0,0,0.0,0.077743,0.0,0.077743,0.000511,5.1e-05,0.014902,,13.609545,1.739779,1.746942,0.035646,1.29301,0.053875,0.006106,6e-06,1.85679,275.745
ok,token_budget_vs_fixed_fixed_rows_16,formal,3,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,95,11279,12227,job_table,485,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,512,0,512,16,fixed_rows,0,128,128,16,2,8,none,0,32,32,8,70572,16,16,16.0,474,6791,2205.375,1561.0,5256.0,0.440565,0.47193,0.476067,ok,62396,8176,512,0.423046,4.4e-05,0.381103,0.060255,0.320849,0,0,0.0,0.078137,0.0,0.078137,0.000444,4.8e-05,0.017257,,14.125546,1.804125,1.811662,0.035973,1.336076,0.05567,0.005788,8e-06,1.945024,263.236
ok,token_budget_vs_fixed_fixed_rows_32,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,13,11268,12227,job_table,486,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,512,0,512,32,fixed_rows,0,128,128,16,2,8,none,0,16,16,8,70578,32,32,32.0,1245,11049,4411.125,3449.0,11049.0,0.874075,1.305955,1.305955,ok,62396,8182,512,0.982491,6.4e-05,0.930255,0.158355,0.7719,0,0,0.0,0.459607,0.0,0.459607,0.000571,4.8e-05,0.010769,,16.008269,2.237903,4.347095,0.022722,3.611076,0.451384,0.004024,1.4e-05,5.032145,101.746
ok,token_budget_vs_fixed_fixed_rows_32,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,97,11349,12227,job_table,487,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,512,0,512,32,fixed_rows,0,128,128,16,2,8,none,0,16,16,8,70588,32,32,32.0,1245,11049,4411.75,3449.0,11049.0,0.822885,0.876072,0.876072,ok,62396,8192,512,0.809684,9.2e-05,0.740583,0.114926,0.625657,0,0,0.0,0.07407,0.0,0.07407,0.00042,4.5e-05,0.009265,,13.353766,1.699081,1.705088,0.018446,0.87169,0.108961,0.002743,7e-06,1.821772,281.045
ok,token_budget_vs_fixed_fixed_rows_32,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,97,11349,12227,job_table,488,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,512,0,512,32,fixed_rows,0,128,128,16,2,8,none,0,16,16,8,70587,32,32,32.0,1244,11049,4411.6875,3449.0,11049.0,0.800826,0.962594,0.962594,ok,62396,8191,512,0.809389,6.5e-05,0.751556,0.112593,0.638963,0,0,0.0,0.078703,0.0,0.078703,0.000594,5e-05,0.010233,,13.208239,1.689844,1.698252,0.016781,0.954116,0.119264,0.003113,4e-06,1.819591,281.382
ok,token_budget_vs_fixed_fixed_rows_32,formal,3,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,97,11343,12227,job_table,489,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,512,0,512,32,fixed_rows,0,128,128,16,2,8,none,0,16,16,8,70587,32,32,32.0,1245,11049,4411.6875,3449.0,11049.0,0.784323,0.89022,0.89022,ok,62396,8191,512,0.790604,7.4e-05,0.730036,0.113873,0.616163,0,0,0.0,0.105096,0.0,0.105096,0.000537,0.000111,0.00919,,13.031399,1.669407,1.676146,0.018127,0.882527,0.110316,0.003133,1e-05,1.84341,277.746
ok,token_budget_vs_fixed_fixed_rows_64,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,9,11337,12227,job_table,490,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,512,0,512,64,fixed_rows,0,128,128,16,2,8,none,0,8,8,8,70578,64,64,64.0,5508,16377,8822.25,7250.0,16377.0,0.943768,1.480748,1.480748,ok,62396,8182,512,1.169072,0.299211,0.78585,0.1256,0.660249,0,0,0.0,0.445599,0.0,0.445599,0.000847,8.3e-05,0.006418,,9.509758,1.788176,3.807323,0.011964,0.0,0.0,0.001752,1.2e-05,4.444286,115.204
ok,token_budget_vs_fixed_fixed_rows_64,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,98,11352,12227,job_table,491,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,512,0,512,64,fixed_rows,0,128,128,16,2,8,none,0,8,8,8,70567,64,64,64.0,5508,16375,8820.875,7250.0,16375.0,0.975806,1.696972,1.696972,ok,62396,8171,512,1.266986,0.344882,0.789389,0.132055,0.657334,0,0,0.0,0.074067,0.0,0.074067,0.000663,7.7e-05,0.006743,,10.333378,1.702173,1.708784,0.00878,0.0,0.0,0.00181,7e-06,1.848518,276.979
ok,token_budget_vs_fixed_fixed_rows_64,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,97,11352,12227,job_table,492,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,512,0,512,64,fixed_rows,0,128,128,16,2,8,none,0,8,8,8,70588,64,64,64.0,5508,16377,8823.5,7250.0,16377.0,1.017613,1.710286,1.710286,ok,62396,8192,512,1.278406,0.344321,0.784229,0.12797,0.656259,0,0,0.0,0.077668,0.0,0.077668,0.000436,4.8e-05,0.007172,,10.426818,1.710693,1.717973,0.008674,0.0,0.0,0.001921,1.1e-05,1.837123,278.697
ok,token_budget_vs_fixed_fixed_rows_64,formal,3,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,97,11356,12227,job_table,493,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,512,0,512,64,fixed_rows,0,128,128,16,2,8,none,0,8,8,8,70588,64,64,64.0,5508,16377,8823.5,7250.0,16377.0,1.028082,1.695703,1.695703,ok,62396,8192,512,1.280527,0.347756,0.77881,0.128293,0.650517,0,0,0.0,0.070189,0.0,0.070189,0.000767,5.2e-05,0.007213,,10.363803,1.700699,1.70892,0.009295,0.0,0.0,0.002063,1.2e-05,1.826897,280.257
ok,token_budget_vs_fixed_fixed_rows_128,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,11,11338,12227,job_table,494,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,512,0,512,128,fixed_rows,0,128,128,16,2,8,none,0,4,4,4,70582,128,128,128.0,11426,26683,17645.5,15252.0,26683.0,1.000298,1.605021,1.605021,ok,62396,8186,512,1.248031,0.343326,0.77614,0.127013,0.649127,0,0,0.0,0.45195,0.0,0.45195,0.000632,4.9e-05,0.007307,,5.052551,1.712089,3.449101,0.008511,0.0,0.0,0.001102,7e-06,4.096026,124.999
ok,token_budget_vs_fixed_fixed_rows_128,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,97,11352,12227,job_table,495,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,512,0,512,128,fixed_rows,0,128,128,16,2,8,none,0,4,4,4,70575,128,128,128.0,11426,26672,17643.75,15250.0,26672.0,0.905001,1.684315,1.684315,ok,62396,8179,512,1.261668,0.319853,0.782626,0.149061,0.633565,0,0,0.0,0.076421,0.0,0.076421,0.000684,7.5e-05,0.007256,,5.13203,1.684792,1.693837,0.007438,0.0,0.0,0.001117,1e-05,1.804489,283.737
