status,experiment_id,phase,repeat_index,server_version,pgvector_version,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,database_trigger,job_id,executor,strategy,model_backend,embedding_endpoint_url,embedding_model,total_rows,written_rows,db_fetch_rows,ray_batch_rows,embedding_dim,embedding_vector_dim,model_workers,max_inflight_limit,writeback_mode,write_batch_rows,object_count,operator_invocations,max_inflight_seen,token_count,db_fetch_s,arrow_build_s,model_service_s,model_request_wall_s,operator_wall_s,submit_s,bounded_wait_s,avg_bounded_wait_s,fanin_s,writeback_s,e2e_s,rows_per_s
ok,gpu_pgvector_writeback_none_4096_20260714,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,9,2079,12227,job_table,250,ray_actor,coalesced,http_openai,http://localhost:8000/v1/embeddings,local-embedding,4096,0,512,256,384,384,2,8,none,512,16,16,2,167268,0.025826,0.003899,2.715388,1.580649,1.65601,0.014987,0.0,0.0,0.007015,4e-06,1.689826,2423.918
ok,gpu_pgvector_writeback_none_4096_20260714,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,34,2148,12227,job_table,251,ray_actor,coalesced,http_openai,http://localhost:8000/v1/embeddings,local-embedding,4096,0,512,256,384,384,2,8,none,512,16,16,2,167268,0.020754,0.001784,2.521765,1.503055,1.594569,0.013521,0.0,0.0,0.006624,6e-06,1.620544,2527.547
ok,gpu_pgvector_writeback_none_4096_20260714,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,38,2160,12227,job_table,252,ray_actor,coalesced,http_openai,http://localhost:8000/v1/embeddings,local-embedding,4096,0,512,256,384,384,2,8,none,512,16,16,2,167268,0.021543,0.002634,2.628285,1.527344,1.617091,0.014817,0.0,0.0,0.007127,3e-06,1.645273,2489.556
ok,gpu_pgvector_writeback_none_4096_20260714,formal,3,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,30,2152,12227,job_table,253,ray_actor,coalesced,http_openai,http://localhost:8000/v1/embeddings,local-embedding,4096,0,512,256,384,384,2,8,none,512,16,16,2,167268,0.019719,0.002008,2.564656,1.524858,1.614567,0.01427,0.0,0.0,0.006885,3e-06,1.639867,2497.763
ok,gpu_pgvector_writeback_json_text_4096_20260714,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,9,2152,12227,job_table,254,ray_actor,coalesced,http_openai,http://localhost:8000/v1/embeddings,local-embedding,4096,4096,512,256,384,384,2,8,json_text,512,16,16,2,167268,0.020655,0.003246,2.653704,1.546828,1.634749,0.014843,0.0,0.0,0.006949,1.57121,3.234188,1266.469
ok,gpu_pgvector_writeback_json_text_4096_20260714,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,9,2150,12227,job_table,255,ray_actor,coalesced,http_openai,http://localhost:8000/v1/embeddings,local-embedding,4096,4096,512,256,384,384,2,8,json_text,512,16,16,2,167268,0.02536,0.002084,2.503982,1.512643,1.600153,0.014412,0.0,0.0,0.007172,1.566166,3.197157,1281.138
ok,gpu_pgvector_writeback_json_text_4096_20260714,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,9,2144,12227,job_table,256,ray_actor,coalesced,http_openai,http://localhost:8000/v1/embeddings,local-embedding,4096,4096,512,256,384,384,2,8,json_text,512,16,16,2,167268,0.022465,0.002287,2.671315,1.532122,1.619211,0.013614,0.0,0.0,0.006505,1.52544,3.172566,1291.068
ok,gpu_pgvector_writeback_json_text_4096_20260714,formal,3,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,9,2148,12227,job_table,257,ray_actor,coalesced,http_openai,http://localhost:8000/v1/embeddings,local-embedding,4096,4096,512,256,384,384,2,8,json_text,512,16,16,2,167268,0.020775,0.00221,2.530602,1.503046,1.589718,0.014618,0.0,0.0,0.007233,1.608212,3.224437,1270.299
ok,gpu_pgvector_writeback_pgvector_4096_20260714,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,8,2143,12227,job_table,258,ray_actor,coalesced,http_openai,http://localhost:8000/v1/embeddings,local-embedding,4096,4096,512,256,384,384,2,8,pgvector,512,16,16,2,167268,0.021324,0.003878,2.488852,1.49655,1.578109,0.014393,0.0,0.0,0.007609,0.914291,2.52094,1624.791
ok,gpu_pgvector_writeback_pgvector_4096_20260714,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,9,2141,12227,job_table,259,ray_actor,coalesced,http_openai,http://localhost:8000/v1/embeddings,local-embedding,4096,4096,512,256,384,384,2,8,pgvector,512,16,16,2,167268,0.021171,0.002413,2.585898,1.532198,1.615857,0.012485,0.0,0.0,0.006992,0.899104,2.541776,1611.472
ok,gpu_pgvector_writeback_pgvector_4096_20260714,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,9,2149,12227,job_table,260,ray_actor,coalesced,http_openai,http://localhost:8000/v1/embeddings,local-embedding,4096,4096,512,256,384,384,2,8,pgvector,512,16,16,2,167268,0.022126,0.00183,2.547688,1.519002,1.612453,0.013799,0.0,0.0,0.006913,0.89065,2.530314,1618.772
ok,gpu_pgvector_writeback_pgvector_4096_20260714,formal,3,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,9,2152,12227,job_table,261,ray_actor,coalesced,http_openai,http://localhost:8000/v1/embeddings,local-embedding,4096,4096,512,256,384,384,2,8,pgvector,512,16,16,2,167268,0.019476,0.002224,2.507085,1.485786,1.572353,0.014726,0.0,0.0,0.006912,0.901478,2.498614,1639.309
